sentenceID,sentence,antecedent,consequent,antecedent_startid,antecedent_endid,consequent_startid,consequent_endid
200000,"I don't think any of us---even economic gurus like Paul Krugman---really, truly understand just how bad it could've gotten ""on Main Street"" if the stimulus bill had become hamstrung by a filibuster threat or recalcitrant conservadems, the way so much of our legislation has since.",if the stimulus bill had become hamstrung by a filibuster threat or recalcitrant conservadems,"I don't think any of us---even economic gurus like Paul Krugman---really, truly understand just how bad it could've gotten ""on Main Street""",140,232,0,138
200001,The GOP's malignant amnesia regarding the economy would be hilarious were it not for the wreckage they caused.,were it not for the wreckage they caused,The GOP's malignant amnesia regarding the economy would be hilarious,69,108,0,67
200002,"OPKO said in a statement Friday that it was aware of the lawsuit, but that the SEC failed to notify the company of its intent to sue prior to filing the complaint, which the company said ""contains serious factual inaccuracies."" ""Had the SEC followed its own standard procedures, OPKO and Dr. Frost would gladly have provided information that would have answered a number of the SEC's apparent questions, and filing of this lawsuit against them could have been avoided,"" the statement read.",Had the SEC followed its own standard procedures,"OPKO and Dr. Frost would gladly have provided information that would have answered a number of the SEC's apparent questions, and filing of this lawsuit against them could have been avoided",229,276,279,466
200003,"TOP TWEETS -- @kurtbardella: ""if the first four weeks of the #Obama presidency were like this when I worked at #oversight we'd have issued so many subpoenas by now"" ...",if the first four weeks of the #Obama presidency were like this when I worked at #oversight,we'd have issued so many subpoenas by now,30,120,122,162
200004,"""If I had 10 pharmacists who worked with me, I could reach 100 people more effectively.""",If I had 10 pharmacists who worked with me,I could reach 100 people more effectively,1,42,45,85
200005,"Hell, Obama complained last year about the sorry state of the US infrastructure - what the HELL happened to the trillions in stolen dollars he spent on shovel-ready jobs at the start of his term???? Most of the infrastructure issues would be fixed if that money hadn't enriched his cronies.",if that money hadn't enriched his cronies,Most of the infrastructure issues would be fixed,248,288,199,246
200006,"But something tells me that if the nominee were Amy Coney Barrett, Democrats would look for a reason to postpone the vote, hope to retake the Senate and then ...",if the nominee were Amy Coney Barrett,"Democrats would look for a reason to postpone the vote, hope to retake the Senate and then",28,64,67,156
200007,"If that was my daughter, I would have asked If I did something wrong.",If that was my daughter,I would have asked If I did something wrong,0,22,25,67
200008,"He is on the record on numerous issues, if he were in fact a champion for civil rights, wouldn't the civil rights community support him unanimously? Where do you stand? It is clear from his record where he stands.",if he were in fact a champion for civil rights,wouldn't the civil rights community support him unanimously,40,85,88,146
200009,"Thanks for the article on this new term that fits me so well, wish all your articles were worthy of praise.",wish all your articles were worthy of praise,{},62,105,-1,-1
200010,"I wish I could say I would not have participated in this unethical experiment, but I am a strict rule follower, and I probably would have gone all the way to 450 volts.",I wish I could say I would not have participated in this unethical experiment,I probably would have gone all the way to 450 volts,0,76,116,166
200011,"Oh, the military could have swooped in to save the day, they say, if only they had not been prevented from doing that by Col.",if only they had not been prevented from doing that by Col,the military could have swooped in to save the day,66,123,4,53
200012,"If some other White House staffer had come out and repeated what Bannon, Tillerson, Cohn or Porter had previous said hardly anyone would notice.","If some other White House staffer had come out and repeated what Bannon, Tillerson, Cohn or Porter had previous said",hardly anyone would notice,0,115,117,142
200013,"As for me, I personally was able to consume more by living in East Asia than I would have if I lived in America.",if I lived in America,I would have,90,110,77,88
200014,"The most challenging brewing process of his career, Willem van Waesberghe, Global Craft and Brew Master at HEINEKEN, stated; ""Removing alcohol from regular 5% Heineken would have been easy, but it wouldn't deliver the same premium beer taste that Heineken is known for.""",Removing alcohol from regular 5% Heineken would have been easy,but it wouldn't deliver the same premium beer taste that Heineken is known for,126,187,190,267
200015,"Even if most buyers of suburban homes can afford a mortgage payment with a bank account that they have that contains billions of dollars that they can't immediately access, at least 30 percent of the value of a home is often required up front, and as such they could have trouble buying even with a ridiculous amount of money.",even with a ridiculous amount of money,they could have trouble buying,287,324,256,285
200016,"Raise whatever ya got handy and wish a Happy Birthday to the late George Carlin, who would've turned 81 tomorrow.","Raise whatever ya got handy and wish a Happy Birthday to the late George Carlin, who would've turned 81 tomorrow",{},0,111,-1,-1
200017,"Investors should indeed bear some of the pain, but she would have done better to venture into this territory next year, once markets had calmed down, and with a proper map.",she would have done better to venture into this territory next year,{},51,117,-1,-1
200018,"Had he refused to attempt something so partisan and with such long odds of success, he would have had to settle at the outset for a repair of the Affordable Care Act rather than an attempt to repeal.",Had he refused to attempt something so partisan and with such long odds of success,he would have had to settle at the outset for a repair of the Affordable Care Act rather than an attempt to repeal,0,81,84,197
200019,"If our ancestors had given up to the cynics, we couldn't have gotten through war, through depression.",If our ancestors had given up to the cynics,"we couldn't have gotten through war, through depression",0,42,45,99
200020,"While Republicans insist that back pay for contract workers is complicated and messy, Smith and Pressley disagree: ""Federal agencies have already budgeted the money they would have used to pay these contractors had the shutdown not happened.""",had the shutdown not happened,the money they would have used to pay these contractors,211,239,155,209
200021,"Later, Mr Chaffetz told Fox News his comment could have been phrased more ""smoothly"".","his comment could have been phrased more ""smoothly""",{},33,83,-1,-1
200022,"A decade ago, if you told someone that energy independence would be conceivable by 2020 they would have said you are crazy.",if you told someone that energy independence would be conceivable by 2020,they would have said you are crazy,14,86,88,121
200023,"True to form, the Dow's rebound was impressive but somewhat ephemeral: By early September, the index had surged to nearly 80 points, and it would have finished the year in positive territory if not for an autumn collapse that mimicked 1929's.",if not for an autumn collapse that mimicked 1929's,it would have finished the year in positive territory,191,240,137,189
200024,I wish he would have said more at the State of the Union.,I wish he would have said more at the State of the Union,{},0,55,-1,-1
200025,"When the Russians were blocked, the Polish bikers retraced the route they would have followed with the Night Wolves back to Warsaw.",they would have followed with the Night Wolves back to Warsaw,the Polish bikers retraced the route,69,129,32,67
200026,"""But for his attorney's incompetence, Lee would have known that accepting the plea agreement would certainly lead to deportation.""",But for his attorney's incompetence,Lee would have known that accepting the plea agreement would certainly lead to deportation,1,35,38,127
200027,"""Many of the burns could have been prevented should there have been more supervision from the parents while their children were in the kitchen, Carlsson's team notes.""",should there have been more supervision from the parents while their children were in the kitchen,Many of the burns could have been prevented,45,141,1,43
200028,If I didn't have the option of makeup (concealer) I imagine I would have definitely fallen victim to negative thinking and developed distortions about my worth as a person because of acne skin issues.,If I didn't have the option of makeup (concealer),I imagine I would have definitely fallen victim to negative thinking and developed distortions about my worth as a person because of acne skin issues,0,48,50,198
200029,As a consequence of the cost would have fallen further still if she had foregone insurance and printed off a savings coupon from the website GoodRx.,if she had foregone insurance and printed off a savings coupon from the website GoodRx,the cost would have fallen further still,61,146,20,59
200030,"In fact, I suspect that provided that his name were Rand Smith, or his father were Ron Paul the car salesman rather than Ron Paul the almost-libertarian presidential candidate, he would be more recognisable as the rather garden-variety Republican that he is: that is, in favour of small government and individual rights when it suits him.","provided that his name were Rand Smith, or his father were Ron Paul the car salesman rather than Ron Paul the almost-libertarian presidential candidate","he would be more recognisable as the rather garden-variety Republican that he is: that is, in favour of small government and individual rights when it suits him",24,174,177,336
200031,"When I ask Robertson if any of the tests offered by Theranos could have saved Holmes's uncle, he takes a long pause.",if any of the tests offered by Theranos could have saved Holmes's uncle,{},21,91,-1,-1
200032,Over a hundred thousand Libyans already fled to Egypt fearing Qaddafi's assault; hundreds of thousands more could have followed if the east had fallen.,if the east had fallen,hundreds of thousands more could have followed,128,149,81,126
200033,"Given President Donald Trumps fondness for derogatory epithets, it would be mildly surprising if he had avoided this one.",if he had avoided this one,it would be mildly surprising,94,119,64,92
200034,"If he had been president this week, one could imagine him blundering along, leaping from one talk show to another spouting inflammatory rhetoric that would only upset allies and swell the ranks of jihadist training camps.",If he had been president this week,"one could imagine him blundering along, leaping from one talk show to another spouting inflammatory rhetoric that would only upset allies and swell the ranks of jihadist training camps",0,33,36,219
